title,source,source_url,comments_count,tag,chinese_tag,label,abstract,behot_time,nowtime,duration
点融“优化”背后：创始人回归转型之路临考,中国经济网,https://www.toutiao.com//item/6675229091748119051/,0,news_finance,财经,,此前淡出点融经营的联合创始人、联席董事长郭宇航回归，使得不少人对点融的未来又有了新的期待。人士表示，郭宇航此次回归可谓是受命于危难之际，现在是在处理过去两年的遗留问题。,2019-04-02 17:38:05,2019-04-02 18:05:35,1650.697241783142
Burberry上海一年内连关4家门店 业绩接连下滑,中国经济网,https://www.toutiao.com//item/6675232105661727239/,0,news_finance,财经,,近日，北京商报记者获悉，Burberry上海尚嘉中心旗舰店已于4月1日正式闭店。业内人士指出，品牌关店最重要的原因还是企业要通过其控制成本，在业绩下滑的情况下，关店是最直接的一个方式。,2019-04-02 17:49:47,2019-04-02 18:05:35,948.6972417831421
摩拜也在北京涨价了 共享单车会越来越贵吗？,中国经济网,https://www.toutiao.com//item/6675232113534435852/,1,news_tech,科技,,4月8日起骑行15分钟以内收费1块钱，骑行超出15分钟，每15分钟收费5毛钱，也就是骑一个小时收费两块五。,2019-04-02 17:49:49,2019-04-02 18:05:35,946.6972417831421
正奇金融上市前夕 旗下小贷公司遇险,中国经济网,https://www.toutiao.com//item/6675229090292695565/,0,news_finance,财经,,曾被认定“高新技术企业”的盛运环保就是其中一员，伴随着业绩大幅下滑与巨额债务压力。日前盛运环保发布的《关于债务到期未能清偿公告》显示，该公司已有74笔债务逾期情况，总金额合计40.47亿元。,2019-04-02 17:38:05,2019-04-02 18:05:35,1650.697241783142
私有化转战A股申请上市近18个月终获反馈 博纳影业坎坷回A路,中国经济网,https://www.toutiao.com//item/6675229089827127811/,0,news_finance,财经,,在此前的3月15日，证监会发布《发行监管部首次公开发行股票审核工作流程及申请企业情况》，在深交所中小板首次公开发行股票中止审查企业基本信息情况表中，博纳的审核状态显示为“中止审查”。,2019-04-02 17:38:05,2019-04-02 18:05:35,1650.697241783142
大变局！方便面外卖pk赛，方便面真的要赢了？,中国经济网,https://www.toutiao.com//item/6675230688519651844/,0,news_media,传媒,,这是3月25日晚间，食品巨头康师傅发布的2018年财报中公布的全年营收的具体数字。报告显示，2018年康师傅营收达606.86亿元，同比增长2.94%。,2019-04-02 17:44:17,2019-04-02 18:05:35,1278.697241783142
达内科技2018财年巨亏 少儿编程业务拖累主业,中国经济网,https://www.toutiao.com//item/6675229095531381259/,0,news_finance,财经,,近日，达内时代科技集团有限公司发布了2018年第四季度及全年财务报告。报告显示公司第四季度营收为6.15亿元，同比下滑0.3%，净亏损1.64亿元，2017年同期的净利润为7460万元。,2019-04-02 17:38:06,2019-04-02 18:05:35,1649.697241783142
尤欣：潜心研究孤独症与肠道菌群之间的“秘密”,中国经济网,https://www.toutiao.com//item/6675227479751262728/,0,news_media,传媒,,尽管那时候已经过了两年多的强化训练，他还是不能仿说，连单音也不行，并且认知理解能力仅相当于1岁孩子的水平。,2019-04-02 17:31:50,2019-04-02 18:05:35,2025.697241783142
变性“选美皇后”参加泰国征兵筛选：口涂芭比粉,中国经济网,https://www.toutiao.com//item/6675227557241029134/,0,news_world,国际,,海外网4月2日电泰国自1日起举行2019年度征兵抽签活动，抽中黑签的人可以回家，但抽中红签则意味着要服两年的兵役。,2019-04-02 17:32:08,2019-04-02 18:05:35,2007.697241783142
清明假期高速路小客车免费通行 北京连续3天不限行,中国经济网,https://www.toutiao.com//item/6675230684342125063/,0,news_car,汽车,,非本市进京载客汽车不受7时至9时、17时至20时禁止在五环路载客汽车通行的道路有:二环路主路、长安街及延长线新兴桥至国贸桥之间路段、广场东侧路、广场西侧路、北池子大街、南池子大街、北河沿大街、南河沿大街、府右街、北长街、南长街、人大会堂西路、正义路、台基厂大街、西安门大街、文津街,2019-04-02 17:44:16,2019-04-02 18:05:35,1279.697241783142
